region,year,id,Z1,Z2,X1,X2,Y,S,W
1,1,2,8.14190199411866,3.08634611318794,7.43657313644209,5.88016955507433,2.5470930710606,1,2
1,1,3,8.14190199411866,3.08634611318794,4.68037078743989,5.4985795257097,2.19682482339187,1,2
1,1,5,8.14190199411866,3.08634611318794,3.94900430974798,5.99180770206139,2.59891719055338,1,2
1,1,7,8.14190199411866,3.08634611318794,4.00481101736796,5.11006733640044,2.16060427006579,1,2
1,1,8,8.14190199411866,3.08634611318794,3.9898815051977,5.81425417946493,2.36141716495035,1,2
1,1,9,8.14190199411866,3.08634611318794,4.71564427952645,5.89082460092005,2.39658656327622,1,2
1,1,10,8.14190199411866,3.08634611318794,4.56177763315848,5.77336907827526,2.47311354617356,1,2
1,1,12,8.14190199411866,3.08634611318794,4.25216624873735,5.93309096015778,2.43832672997194,1,2
1,1,13,8.14190199411866,3.08634611318794,4.93314984785603,6.9400165120957,2.92878332563073,1,2
1,1,15,8.14190199411866,3.08634611318794,4.01595278907078,6.41547175608916,2.66143214688668,1,2
1,1,16,8.14190199411866,3.08634611318794,5.49668726229416,5.80216160601192,2.55665374794203,1,2
1,1,17,8.14190199411866,3.08634611318794,5.02667996124747,6.19780886744712,2.46636587154109,1,2
1,1,18,8.14190199411866,3.08634611318794,4.29942121884095,6.61207987696982,2.66737061039866,1,2
1,1,19,8.14190199411866,3.08634611318794,5.74070168385481,6.24853630518267,2.70852187019748,1,2
1,1,20,8.14190199411866,3.08634611318794,5.11688695436174,6.4723041986636,2.67607413442498,1,2
1,1,22,8.14190199411866,3.08634611318794,5.1121450724838,6.70941428796298,2.99727862155496,1,2
1,1,25,8.14190199411866,3.08634611318794,3.86074542815186,5.95619544329248,2.4401300710511,1,2
1,1,31,8.14190199411866,3.08634611318794,6.63640291641184,5.63483325117858,2.36967857556746,1,2
1,1,32,8.14190199411866,3.08634611318794,5.05396475910641,5.87899242006263,2.71014437404003,1,2
1,1,34,8.14190199411866,3.08634611318794,4.04478650072747,6.26371013562297,2.66495714488596,1,2
1,1,38,8.14190199411866,3.08634611318794,2.97906699637107,5.48514106541611,2.55176380248739,1,2
1,1,40,8.14190199411866,3.08634611318794,4.33896255865542,6.43909816659796,2.66832664920336,1,2
1,1,41,8.14190199411866,3.08634611318794,2.27823147327579,6.13940219715925,2.83336835614731,1,2
1,1,46,8.14190199411866,3.08634611318794,6.12140511469647,5.95953848934958,2.58462946783322,1,2
1,1,48,8.14190199411866,3.08634611318794,4.94562582973355,5.89039839838354,2.42893174422658,1,2
1,1,53,8.14190199411866,3.08634611318794,4.39264297672793,5.81394316981575,2.5248636414769,1,2
1,1,55,8.14190199411866,3.08634611318794,4.68582237269559,6.16070037339989,2.73568487206496,1,2
1,1,56,8.14190199411866,3.08634611318794,4.08463330956304,6.03436333155051,2.37497190567881,1,2
1,1,60,8.14190199411866,3.08634611318794,3.77864868489005,6.28049684605483,2.60933701368814,1,2
1,1,61,8.14190199411866,3.08634611318794,4.44164868058037,5.97864004406879,2.53787901631979,1,2
1,1,63,8.14190199411866,3.08634611318794,4.22601670751901,6.71167304570046,2.70298547055452,1,2
1,1,64,8.14190199411866,3.08634611318794,3.00369572884167,5.99067433235834,2.59347706619064,1,2
